ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
1705,3091482,Active,317852,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,5 Avenue,E,94 Street,92 Street,40.6175734916997,-74.0294935682447,976061.888083473,164276.43757315,POINT (-74.029493568245 40.6175734917),17216,10,2,44,41
4015,3043021,Active,309552,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Flatbush Avenue,W,Canton Avenue,Church Avenue,40.6524317156632,-73.9593174006026,995538.553198308,176977.470569983,POINT (-73.959317400603 40.652431715663),13510,60,2,11,43
13394,4123024,Active,468171,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,37 Avenue,N,85 Street,84 Street,40.7500406642189,-73.88202558503,1016937.47988856,212558.713383719,POINT (-73.88202558503 40.750040664219),14783,65,3,5,73
8873,1113025,Active,103736,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Greenwich Street,E,Franklin Street,Harrison Street,40.7191336758672,-74.0102204458197,981416.879670054,201276.480042726,POINT (-74.01022044582 40.719133675867),12076,56,4,32,1
9278,1143009,Active,104503,2HR Pas Mon-Sat 0800-2400,,On Street,Manhattan,East 8 Street,N,University Place,Broadway,40.7314659503776,-73.9943337105417,985820.411873475,205769.39494139,POINT (-73.994333710542 40.731465950378),11724,57,4,50,3
11223,1433865,Active,103053,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,East 51 Street,S,2 Avenue,3 Avenue,40.756213628124,-73.969851775654,992602.47573714,214787.149871722,POINT (-73.969851775654 40.756213628124),12419,71,4,51,9
5850,3249872,Active,337867,2 HR Pas Mon-Fri 1000-1900 /2 HR Pas Sat 0800-1900,,On Street,Brooklyn,Flatbush Avenue,E,Plaza St East,Sterling Place,40.6755261780552,-73.9711360294561,992256.36356847,185390.1305819,POINT (-73.971136029456 40.675526178055),13829,16,2,27,50
15090,1363005,Active,114645,2 HR Pas Mon-Fri 1300-1900 /2 HR Pas Sat 0900-1900,,On Street,Manhattan,Amsterdam Avenue,E,West 144 Street,West 145 Street,40.8247733316829,-73.9478232858835,998690.524256557,239768.674711734,POINT (-73.947823285883 40.824773331683),12428,37,4,23,19
14623,1273015,Active,111607,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,Madison Avenue,E,East 87 Street,East 88 Street,40.7818488814344,-73.9579839185604,995885.950141311,224128.277842984,POINT (-73.95798391856 40.781848881434),10099,23,4,51,11
296,4122292,Active,468637,2 HR Pas Mon-Sat 1000-1900,,On Street,Queens,Roosevelt Avenue,S,75 Street,76 Street,40.7469334628629,-73.8900244381925,1014722.63917388,211423.777333394,POINT (-73.890024438192 40.746933462863),14784,66,3,5,68
818,1389691,Active,110016,2 HR Pas Mon-Sat 1300-1900,,On Street,Manhattan,Amsterdam Avenue,W,West 106 Street,West 107 Street,40.8008458496778,-73.9655326494678,993792.678409219,231048.615052149,POINT (-73.965532649468 40.800845849678),12422,20,4,23,15
