parking_spot_id,type,parking_spot_name,address_zip,borough,detail,longitude,latitude,operation_hours
3123237,Street,,13515,Brooklyn,On Street,-74.0063071250755,40.6559727189607,2 HR Pas Mon-Sat 0800-1900
2083111,Street,,11275,Bronx,On Street,-73.8574753442303,40.8926304236024,2 HR Pas Mon-Sat 0900-1900
2083107,Street,,11605,Bronx,On Street,-73.8642414903338,40.881092998664,2 HR Pas Mon-Sat 0900-1900
3631595,Street,,18184,Brooklyn,On Street,-73.9749645054617,40.5794154300187,2 HR Pas Mon-Sat 0900-1700
2193004,Street,,10930,Bronx,On Street,-73.9125972683997,40.8435732630686,2 HR Pas Mon-Sat 0800-1900
2083109,Street,,11605,Bronx,On Street,-73.865002320509,40.8802095553327,2 HR Pas Mon-Sat 0900-1900
3631592,Street,,18184,Brooklyn,On Street,-73.9747692452798,40.5793789575025,2 HR Pas Mon-Sat 0900-1700
2083099,Street,,11605,Bronx,On Street,-73.8652988859551,40.8791375953599,2 HR Pas Mon-Sat 0900-1900
3353029,Street,,17212,Brooklyn,On Street,-73.9649331519889,40.6935079003137,2 HR Pas Mon-Sat 0830-1900
1403178,Street,,13094,Manhattan,On Street,-73.9879409140779,40.7599609902574,1HR Com Mon-Sat 1000-1600 /5HR Pas Mon-Sat 1900-2400
3853002,Street,,18184,Brooklyn,Off Street,-73.9716301203594,40.5765868946952,15 HR Pas Mon-Sat 0600-2200
4153034,Street,,16858,Queens,On Street,-73.9473088607912,40.7450709328133,2 HR Pas Mon-Sat 0900-1900
2193003,Street,,10930,Bronx,On Street,-73.9126145949337,40.84334665539,2 HR Pas Mon-Sat 0830-1900
4103002,Street,,20532,Queens,On Street,-73.8376464311452,40.5805865972505,2 HR Pas Mon-Sat 0830-1900
3123233,Street,,13515,Brooklyn,On Street,-74.0046261686824,40.6575987720299,2 HR Pas Mon-Sat 0800-1900
3631593,Street,,18184,Brooklyn,On Street,-73.9748447945931,40.5793999706884,2 HR Pas Mon-Sat 0900-1700
3123236,Street,,13515,Brooklyn,On Street,-74.0057484819366,40.6565066827064,2 HR Pas Mon-Sat 0800-1900
2193001,Street,,10930,Bronx,On Street,-73.9142856908016,40.8441065170706,2 HR Pas Mon-Sat 0830-1900
1403174,Street,,12081,Manhattan,On Street,-73.9868732929518,40.7625590910984,3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400
3493099,Street,,17621,Brooklyn,On Street,-73.9953024073301,40.63178428005,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri
1074875,Street,,10090,Manhattan,On Street,-73.9620234731652,40.765303665534,2HR Pas Mon-Sat 0800-1900
2083110,Street,,11275,Bronx,On Street,-73.8571395198079,40.8940460008359,2 HR Pas Mon-Sat 0830-1900
1403173,Street,,12081,Manhattan,On Street,-73.9876164177723,40.7628693070588,3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400
1433934,Street,,12419,Manhattan,On Street,-73.9762546377005,40.7580934335906,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400
4512449,Street,,14509,Queens,On Street,-73.8220686199835,40.7270163160405,2 HR Pas Mon-Fri 0800-1900
4512443,Street,,14509,Queens,On Street,-73.824813406806,40.732335483614,2 HR Pas Mon-Fri 0800-1900
3123234,Street,,13515,Brooklyn,On Street,-74.004057144462,40.6574672973513,2 HR Pas Mon-Sat 0800-1900
3353027,Street,,17212,Brooklyn,On Street,-73.9646251495708,40.6934559365094,2 HR Pas Mon-Sat 0830-1900
4103004,Street,,20532,Queens,On Street,-73.8374595808953,40.580255492596,2 HR Pas Mon-Sat 0830-1900
3493100,Street,,17621,Brooklyn,On Street,-73.9967204392294,40.6273797827927,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri
2262731,Street,,11609,Bronx,On Street,-73.8982116094116,40.8908872327127,4HR Pas Mon-Sat 0800-2000
2083100,Street,,11605,Bronx,On Street,-73.8652212157508,40.8794921393818,2 HR Pas Mon-Sat 0900-1900
1113028,Street,,12076,Manhattan,On Street,-74.0091758699092,40.7171068357235,2HR Pas Mon-Sat 0900-1900
1433471,Street,,12081,Manhattan,On Street,-73.984885262773,40.7617256251221,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400
4512439,Street,,14509,Queens,On Street,-73.8251192904317,40.7329449769541,2 HR Pas Mon-Fri 0800-1900
1433473,Street,,12082,Manhattan,On Street,-73.9823564530261,40.7606568773091,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400
3631594,Street,,18184,Brooklyn,On Street,-73.9746693469391,40.5793671242465,2 HR Pas Mon-Sat 0900-1700
4152158,Street,,16858,Queens,On Street,-73.9578146456605,40.7418351594901,4HR Pas Mon-Sat 0800-2000
2262732,Street,,11609,Bronx,On Street,-73.8981776613712,40.8907587430889,4HR Pas Mon-Sat 0800-2000
1074873,Street,,10090,Manhattan,On Street,-73.9623065384235,40.7653763346145,2HR Pas Mon-Sat 0800-1900
4153032,Street,,16858,Queens,On Street,-73.9605142330882,40.7415111209518,2 HR Pas Mon-Sat 0900-1900
1113078,Street,,11726,Manhattan,On Street,-74.0084943150429,40.704005689714,2HR Pas Mon-Sat 0900-2200
3123239,Street,,13515,Brooklyn,On Street,-74.0088017549489,40.6535698649011,2 HR Pas Mon-Sat 0800-1900
2053056,Street,,11269,Bronx,On Street,-73.8821079680602,40.8396924280594,2 HR Pas Mon-Sat 0700-2200
1193006,Street,,12425,Manhattan,On Street,-73.9564275260737,40.7784865293823,3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900
3223061,Street,,18182,Brooklyn,On Street,-73.9577233893881,40.7302354530028,2 HR Pas Mon-Sat 0800-2200
3743022,Street,,13515,Brooklyn,Off Street,-74.0020491553203,40.6597367291131,15HR Pas Mon - Sat 0700-2200
4512493,Street,,14509,Queens,On Street,-73.8148380161902,40.7354393855834,6HR Pas Mon-Fri 0900-2200
3223062,Street,,18182,Brooklyn,On Street,-73.9574587001321,40.7294874696029,2 HR Pas Mon-Sat 0800-2200
1443694,Street,,12073,Manhattan,On Street,-73.9825104553208,40.7399045161829,2HR Pas Mon-Sat 0830-2200
4293154,Street,,24015,Queens,On Street,-73.82735643285,40.6937888355448,2 HR Pas Mon-Sat 0900-1900
2053055,Street,,11269,Bronx,On Street,-73.8813984916858,40.8398205136899,2 HR Pas Mon-Sat 0700-2200
3223063,Street,,18182,Brooklyn,ON Street,-73.9575892108833,40.729409652562,2 HR Pas Mon-Sat 0800-2200
3223065,Street,,18182,Brooklyn,On Street,-73.9583062995569,40.7298813316177,2 HR Pas Mon-Sat 0800-2200
3223066,Street,,18182,Brooklyn,On Street,-73.9581815300608,40.7297532889781,2 HR Pas Mon-Sat 0800-2200
1403179,Street,,13094,Manhattan,On Street,-73.9886410850896,40.758614740164,1HR Com Mon-Sat 0700-1600 / 5 HR Pas Mon-Sat 1900-2400
3403009,Street,,17618,Brooklyn,On Street,-73.9493132542893,40.6796687964762,2 HR Pas Mon-Sat 0830-1900
1273088,Street,,12426,Manhattan,On Street,-73.9507652103515,40.7862044275417,2HR Pas Mon-Sat 0900-1900
1443999,Street,,12079,Manhattan,On Street,-73.9793245225676,40.751193649883,3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200
2013055,Street,,11606,Bronx,On Street,-73.8992450013655,40.8590692136044,2 HR Pas Mon-Sat 0830-1900
1409950,Street,,12081,Manhattan,On Street,-73.9885256890533,40.7638781928644,3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300
1409947,Street,,12081,Manhattan,On Street,-73.9872675322689,40.7655939558329,3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300
2173043,Street,,11271,Bronx,On Street,-73.8635093521195,40.8402149356332,2 HR Pas Mon-Sat 0900-1900
4122382,Street,,14783,Queens,On Street,-73.8820603327511,40.7480775785411,2 HR Pas Mon-Sat 0900-1900
